moveId,name,category,naturalStatus,isolationStatus,forcedStatus,equipped,eligible,affordable,selected,submitted,resolved,successful,valueProducing,decisionEligible,decisionSelected,triggerApplicable,triggerActivated,triggerResolved,triggerValueProducing,naturalEquipped,naturalEligible,naturalSelected,naturalResolved,naturalSuccessful,naturalTriggerApplicable,naturalTriggerTriggered,naturalTriggerResolved,isolationEquipped,isolationEligible,isolationSelected,isolationResolved,isolationSuccessful,isolationTriggerApplicable,isolationTriggerTriggered,isolationTriggerResolved,forcedEquipped,forcedEligible,forcedSelected,forcedResolved,forcedSuccessful,forcedTriggerApplicable,forcedTriggerTriggered,forcedTriggerResolved,errorCount,errors,followUp
move-afterlife-finish-buster,Finish Buster,advanced-attack,not-scheduled,eligible-never-selected,observed-sufficient,40,40,40,10,10,10,2,2,40,10,42,42,22,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,10,10,10,10,2,42,42,22,0,,true
move-afterlife-four-arms,Four Arms,advanced-attack,not-scheduled,eligible-never-selected,observed-low-sample,34,34,34,4,4,4,3,3,34,4,51,34,9,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,4,4,4,4,3,51,51,9,0,,true
move-afterlife-future-sight,Future Sight,skill,not-scheduled,observed-low-sample,observed-low-sample,0,0,0,0,0,0,0,0,0,0,240,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,0,0,0,0,0,0,120,120,0,0,,true
move-afterlife-galick-gun,Galick Gun,advanced-attack,not-scheduled,observed-sufficient,observed-low-sample,24,24,24,24,24,24,13,13,24,24,98,98,50,0,0,0,0,0,0,0,0,0,20,20,20,20,11,82,82,42,4,4,4,4,2,16,16,8,0,,true
move-afterlife-gigantic-hammer,Gigantic Hammer,advanced-attack,not-scheduled,observed-sufficient,observed-low-sample,34,34,34,20,20,20,9,9,34,20,83,83,43,0,0,0,0,0,0,0,0,0,30,30,16,16,7,66,66,34,4,4,4,4,2,17,17,9,0,,true
move-afterlife-gigantic-meteor,Gigantic Meteor,signature,not-scheduled,eligible-never-selected,observed-low-sample,21,21,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-give-me-energy,Give Me Energy!,skill,not-scheduled,observed-sufficient,observed-sufficient,60,60,60,60,60,60,60,0,60,60,120,120,0,0,0,0,0,0,0,0,0,0,30,30,30,30,30,60,60,0,30,30,30,30,30,60,60,0,0,,true
move-afterlife-guldo-special,Guldo Special,signature,not-scheduled,eligible-never-selected,observed-low-sample,21,21,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-heat-dome-attack,Heat Dome Attack,signature,not-scheduled,observed-low-sample,observed-low-sample,2,2,2,2,2,2,0,0,2,2,8,8,4,0,0,0,0,0,0,0,0,0,2,2,2,2,0,8,8,4,0,0,0,0,0,0,0,0,0,,true
move-afterlife-hellfire-blitz,Hellfire Blitz,signature,not-scheduled,eligible-never-selected,observed-low-sample,21,21,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-hellzone-grenade,Hellzone Grenade,signature,not-scheduled,eligible-never-selected,observed-low-sample,21,21,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-imprisonment-ball,Imprisonment Ball,advanced-attack,not-scheduled,eligible-never-selected,observed-low-sample,34,34,34,4,4,4,0,0,34,4,16,16,8,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,4,4,4,4,0,16,16,8,0,,true
move-afterlife-instant-transmission,Instant Transmission,skill,not-scheduled,observed-low-sample,observed-low-sample,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-kaio-ken,Kaio-ken,skill,not-scheduled,observed-low-sample,observed-low-sample,0,0,0,0,0,0,0,0,0,0,120,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,60,60,0,0,,true
move-afterlife-kaio-ken-attack,Kaio-ken Attack,advanced-attack,not-scheduled,eligible-never-selected,observed-low-sample,34,34,34,4,4,4,2,2,34,4,21,19,9,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,4,4,4,4,2,21,21,9,0,,true
move-afterlife-kamehameha,Kamehameha,advanced-attack,not-scheduled,eligible-never-selected,observed-low-sample,34,34,34,4,4,4,3,3,34,4,16,16,8,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,4,4,4,4,3,16,16,8,0,,true
move-afterlife-ki-blade-rush,Ki Blade Rush,advanced-attack,not-scheduled,observed-sufficient,observed-sufficient,41,41,41,33,33,33,17,17,41,33,137,137,71,0,0,0,0,0,0,0,0,0,31,31,23,23,12,95,95,49,10,10,10,10,5,42,42,22,0,,true
move-afterlife-kienzan,Kienzan,signature,not-scheduled,observed-low-sample,observed-low-sample,2,2,2,2,2,2,1,1,2,2,9,9,5,0,0,0,0,0,0,0,0,0,2,2,2,2,1,9,9,5,0,0,0,0,0,0,0,0,0,,true
move-afterlife-life-drain,Life Drain,signature,not-scheduled,eligible-never-selected,observed-low-sample,22,22,22,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-light-grenade,Light Grenade,advanced-attack,not-scheduled,eligible-never-selected,observed-low-sample,34,34,34,4,4,4,2,2,34,4,16,16,8,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,4,4,4,4,2,16,16,8,0,,true
move-afterlife-lightning-arrows,Lightning Arrows,signature,not-scheduled,eligible-never-selected,observed-low-sample,20,20,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-masenko,Masenko,advanced-attack,not-scheduled,eligible-never-selected,observed-sufficient,40,40,40,10,10,10,4,4,40,10,51,47,23,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,10,10,10,10,4,51,51,23,0,,true
move-afterlife-mass-genocide-attack,Mass Genocide Attack,signature,not-scheduled,eligible-never-selected,observed-low-sample,21,21,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-meteor-smash,Meteor Smash,advanced-attack,not-scheduled,observed-sufficient,observed-sufficient,40,40,40,32,32,32,32,32,40,32,133,133,69,0,0,0,0,0,0,0,0,0,30,30,22,22,22,91,91,47,10,10,10,10,10,42,42,22,0,,true
move-afterlife-multi-form,Multi-Form,advanced-attack,not-scheduled,eligible-never-selected,observed-low-sample,34,34,34,4,4,4,4,4,34,4,28,28,20,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,4,4,4,4,4,28,28,20,0,,true
move-afterlife-petrifying-spit,Petrifying Spit,skill,not-scheduled,observed-low-sample,observed-low-sample,4,4,4,4,4,4,4,4,4,4,28,18,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,14,14,0,2,2,2,2,2,14,14,0,0,,true
move-afterlife-present-bomb,Present Bomb,signature,not-scheduled,eligible-never-selected,observed-low-sample,21,21,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-psychic-throw,Psychic Throw,advanced-attack,not-scheduled,observed-sufficient,observed-sufficient,40,40,40,32,32,32,18,18,40,32,159,146,69,0,0,0,0,0,0,0,0,0,30,30,22,22,13,109,109,47,10,10,10,10,5,50,50,22,0,,true
move-afterlife-revenge-death-bomber,Revenge Death Bomber,signature,not-scheduled,eligible-never-selected,observed-low-sample,21,21,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-rolling-satan-punch,Rolling Satan Punch,advanced-attack,not-scheduled,observed-sufficient,observed-low-sample,34,34,34,22,22,22,15,15,34,22,120,105,46,0,0,0,0,0,0,0,0,0,30,30,18,18,12,98,98,38,4,4,4,4,3,22,22,8,0,,true
move-afterlife-s-s-deadly-bomb,S.S Deadly Bomb,signature,not-scheduled,eligible-never-selected,observed-low-sample,20,20,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-satan-miracle-special-ultra-super-megaton-punch,Satan Miracle Special Ultra Super Megaton Punch,advanced-attack,not-scheduled,eligible-never-selected,observed-low-sample,32,32,32,2,2,2,2,2,32,2,11,10,5,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,2,2,2,2,2,11,11,5,0,,true
move-afterlife-scatter-shot,Scatter Shot,advanced-attack,not-scheduled,eligible-never-selected,observed-low-sample,34,34,34,4,4,4,1,1,34,4,16,16,8,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,4,4,4,4,1,16,16,8,0,,true
move-afterlife-solar-flare,Solar Flare,skill,not-scheduled,observed-low-sample,observed-low-sample,0,0,0,0,0,0,0,0,0,0,120,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,60,60,0,0,,true
move-afterlife-space-mach-attack,Space Mach Attack,advanced-attack,not-scheduled,eligible-never-selected,observed-sufficient,40,40,40,10,10,10,8,8,40,10,60,52,24,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,10,10,10,10,8,60,60,24,0,,true
move-afterlife-special-beam-cannon,Special Beam Cannon,signature,not-scheduled,eligible-never-selected,observed-low-sample,20,20,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-special-fighting-pose-1,Special Fighting Pose 1,skill,not-scheduled,eligible-never-selected,observed-low-sample,32,32,32,2,2,2,2,2,32,2,4,4,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,2,2,2,2,2,4,4,0,0,,true
move-afterlife-special-fighting-pose-2,Special Fighting Pose 2,skill,not-scheduled,eligible-never-selected,observed-low-sample,32,32,32,2,2,2,2,2,32,2,4,4,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,2,2,2,2,2,4,4,0,0,,true
move-afterlife-special-fighting-pose-3,Special Fighting Pose 3,skill,not-scheduled,observed-low-sample,observed-low-sample,6,6,6,4,4,4,4,4,6,4,16,12,0,0,0,0,0,0,0,0,0,0,4,4,2,2,2,8,8,0,2,2,2,2,2,8,8,0,0,,true
move-afterlife-special-fighting-pose-4,Special Fighting Pose 4,skill,not-scheduled,eligible-never-selected,observed-low-sample,32,32,32,2,2,2,2,2,32,2,4,4,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,2,2,2,2,2,4,4,0,0,,true
move-afterlife-special-fighting-pose-5,Special Fighting Pose 5,skill,not-scheduled,eligible-never-selected,observed-low-sample,32,32,32,2,2,2,2,2,32,2,4,4,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,2,2,2,2,2,4,4,0,0,,true
move-afterlife-spirit-ball,Spirit Ball,signature,not-scheduled,eligible-never-selected,observed-low-sample,21,21,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-spirit-bomb,Spirit Bomb,signature,not-scheduled,eligible-never-selected,observed-low-sample,21,21,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-super-big-bang-attack,Super Big Bang Attack,signature,not-scheduled,eligible-never-selected,observed-low-sample,21,21,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-super-galick-gun,Super Galick Gun,signature,not-scheduled,eligible-never-selected,observed-low-sample,20,20,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-super-kamehameha,Super Kamehameha,signature,not-scheduled,eligible-never-selected,observed-low-sample,21,21,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-supernova,Supernova,signature,not-scheduled,eligible-never-selected,observed-low-sample,21,21,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-sword-blast,Sword Blast,advanced-attack,not-scheduled,eligible-never-selected,observed-sufficient,40,40,40,10,10,10,6,6,40,10,52,46,20,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,10,10,10,10,6,52,52,20,0,,true
move-afterlife-teamwork-kamehameha,Teamwork Kamehameha,signature,not-scheduled,eligible-never-selected,observed-low-sample,23,23,23,2,2,2,2,2,23,2,8,8,4,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,2,2,2,2,2,8,8,4,0,,true
move-afterlife-telekinesis,Telekinesis,advanced-attack,not-scheduled,observed-sufficient,observed-sufficient,40,40,40,32,32,32,8,8,40,32,129,129,65,0,0,0,0,0,0,0,0,0,30,30,22,22,7,89,89,45,10,10,10,10,1,40,40,20,0,,true
move-afterlife-thunder-flash,Thunder Flash,signature,not-scheduled,observed-low-sample,observed-low-sample,2,2,2,2,2,2,1,1,2,2,8,8,4,0,0,0,0,0,0,0,0,0,2,2,2,2,1,8,8,4,0,0,0,0,0,0,0,0,0,,true
move-afterlife-time-freeze,Time Freeze,skill,not-scheduled,observed-low-sample,observed-low-sample,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-tri-beam,Tri-Beam,signature,not-scheduled,eligible-never-selected,observed-low-sample,20,20,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-vanishing-ball,Vanishing Ball,signature,not-scheduled,eligible-never-selected,observed-low-sample,21,21,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-volcano-explosion,Volcano Explosion,signature,not-scheduled,observed-low-sample,observed-low-sample,2,2,2,2,2,2,2,2,2,2,12,10,4,0,0,0,0,0,0,0,0,0,2,2,2,2,2,12,12,4,0,0,0,0,0,0,0,0,0,,true
move-afterlife-warp-kamehameha,Warp Kamehameha,signature,not-scheduled,observed-low-sample,observed-low-sample,4,4,4,4,4,4,4,4,4,4,28,20,4,0,0,0,0,0,0,0,0,0,2,2,2,2,2,14,14,4,2,2,2,2,2,14,14,0,0,,true
move-afterlife-wolf-fang-fist,Wolf Fang Fist,signature,not-scheduled,eligible-never-selected,observed-low-sample,20,20,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-x20-kaioken-kamehameha,x20 Kaioken Kamehameha,signature,not-scheduled,observed-low-sample,observed-low-sample,2,2,2,2,2,2,0,0,2,2,9,9,5,0,0,0,0,0,0,0,0,0,2,2,2,2,0,9,9,5,0,0,0,0,0,0,0,0,0,,true
move-akaikaru-accelerated-shoulder-tackle,Accelerated Shoulder Tackle,advanced-attack,not-scheduled,eligible-never-selected,observed-low-sample,34,34,34,4,4,4,3,3,34,4,17,17,9,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,4,4,4,4,3,17,17,9,0,,true
move-akaikaru-adrenaline-rush-mastery,Adrenaline Rush Mastery,mastery,not-scheduled,observed-low-sample,observed-low-sample,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-akaikaru-agile-medley,Agile Medley,advanced-attack,not-scheduled,eligible-never-selected,observed-low-sample,32,32,32,2,2,2,2,2,32,2,12,10,4,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,2,2,2,2,2,12,12,4,0,,true
move-akaikaru-anger-management,Anger Management,advanced-attack,not-scheduled,eligible-never-selected,observed-low-sample,34,34,34,4,4,4,1,1,34,4,18,17,8,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,4,4,4,4,1,18,18,8,0,,true
move-akaikaru-back-brain-kick,Back Brain Kick,advanced-attack,not-scheduled,observed-sufficient,observed-low-sample,35,35,35,22,22,22,13,13,35,22,91,91,47,0,0,0,0,0,0,0,0,0,31,31,18,18,11,74,74,38,4,4,4,4,2,17,17,9,0,,true
move-akaikaru-backflip,Backflip,block,not-scheduled,observed-low-sample,observed-low-sample,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-akaikaru-backflip-kick,Backflip Kick,advanced-attack,not-scheduled,eligible-never-selected,observed-low-sample,34,34,34,4,4,4,2,2,34,4,18,17,8,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,4,4,4,4,2,18,18,8,0,,true
move-akaikaru-berserker-mastery,Berserker Mastery,mastery,not-scheduled,observed-low-sample,observed-low-sample,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-akaikaru-blazing-speed-mastery,Blazing Speed Mastery,mastery,not-scheduled,observed-low-sample,observed-low-sample,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-akaikaru-blitzkrieg,Blitzkrieg,advanced-attack,not-scheduled,eligible-never-selected,observed-low-sample,32,32,32,2,2,2,2,2,32,2,10,9,4,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,2,2,2,2,2,10,10,4,0,,true
move-akaikaru-blown-fuse,Blown Fuse,advanced-attack,not-scheduled,eligible-never-selected,observed-sufficient,40,40,40,10,10,10,5,5,40,10,53,48,23,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,10,10,10,10,5,53,53,23,0,,true
move-akaikaru-buckshot,Buckshot,advanced-attack,not-scheduled,eligible-never-selected,observed-low-sample,32,32,32,2,2,2,2,2,32,2,8,8,4,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,2,2,2,2,2,8,8,4,0,,true
